F,q,num_runs,steps_mean,steps_std,steps_min,steps_max,unique_cultures_mean,unique_cultures_std,unique_cultures_min,unique_cultures_max,largest_domain_mean,largest_domain_std,avg_distance_mean,avg_distance_std,prob_global_consensus
10,4,100,68014.33,15919.979409568972,38835,131818,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
10,5,100,70883.34,16171.683206283753,39238,133152,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
10,6,100,73963.48,19946.201240577113,38026,147342,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
10,7,100,77238.07,18760.89786724239,47830,140233,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
10,8,100,78540.83,17604.960494732728,43634,140124,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
10,9,100,79044.12,18638.43601447289,40995,133884,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
10,10,100,77032.2,16013.433472556719,48302,123629,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
10,11,100,81586.68,18033.996774359257,50834,160631,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
10,12,100,78273.12,17137.762942274585,43671,155490,1.01,0.09949874371066199,1,2,99.99,0.09949874371066199,0.00011111111111111112,0.0011055415967851337,0.99
10,13,100,77440.32,17881.39430910241,44717,131283,1.01,0.09949874371066199,1,2,99.99,0.09949874371066199,0.00016666666666666666,0.0016583123951777001,0.99
10,14,100,81197.5,19819.071930592512,47244,139281,1.03,0.1705872210923198,1,2,99.97,0.17058722109231983,0.0005,0.0029496808783240633,0.97
10,15,100,78646.42,17179.899012031474,49679,149665,1.12,0.32496153618543844,1,2,99.84,0.5238320341483518,0.0020555555555555557,0.005701147815988732,0.88
10,16,100,77290.3,17678.561594485,49067,142593,1.15,0.3840572873934304,1,3,99.71,0.8519976525789258,0.0031666666666666666,0.008757888859990782,0.86
10,17,100,83909.39,17138.542834730728,31515,133067,1.18,0.43312815655415426,1,3,99.8,0.4898979485566356,0.0030555555555555553,0.007792644521725299,0.84
10,18,100,80939.51,17007.211630067406,48553,142918,1.37,0.6878226515607057,1,5,99.59,0.8257723657279892,0.006499999999999999,0.01269429248632609,0.71
10,19,100,79634.47,14590.2968382792,51510,124146,1.38,0.6446704584514478,1,5,99.53,0.9322553298319083,0.007277777777777779,0.012612334742398847,0.68
10,20,100,84737.28,20902.596740634883,53257,159276,1.53,0.8538735269347563,1,5,99.38,1.1382442620105757,0.009833333333333335,0.016289339845205288,0.64
