correlation,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
-1.0,10,81,53113,1,100,100.0,0.0
-1.0,10,82,43208,1,100,100.0,0.0
-1.0,10,83,19954,1,100,100.0,0.0
-1.0,10,84,22800,1,100,100.0,0.0
-1.0,10,85,42554,1,100,100.0,0.0
-1.0,10,86,29075,1,100,100.0,0.0
-1.0,10,87,36282,1,100,100.0,0.0
-1.0,10,88,36632,1,100,100.0,0.0
-1.0,10,89,25657,1,100,100.0,0.0
-1.0,10,90,38567,1,100,100.0,0.0
-1.0,10,91,34258,1,100,100.0,0.0
-1.0,10,92,71081,1,100,100.0,0.0
-1.0,10,93,71195,1,100,100.0,0.0
-1.0,10,94,44575,1,100,100.0,0.0
-1.0,10,95,42921,1,100,100.0,0.0
-1.0,10,96,15764,1,100,100.0,0.0
-1.0,10,97,20388,1,100,100.0,0.0
-1.0,10,98,45409,1,100,100.0,0.0
-1.0,10,99,24415,1,100,100.0,0.0
-1.0,10,100,30477,2,99,99.0,0.016666666666666666
-1.0,10,101,24787,1,100,100.0,0.0
-1.0,10,102,35554,1,100,100.0,0.0
-1.0,10,103,57740,1,100,100.0,0.0
-1.0,10,104,35965,1,100,100.0,0.0
-1.0,10,105,43881,1,100,100.0,0.0
-1.0,10,106,27340,1,100,100.0,0.0
-1.0,10,107,55026,1,100,100.0,0.0
-1.0,10,108,65440,1,100,100.0,0.0
-1.0,10,109,30376,1,100,100.0,0.0
-1.0,10,110,31617,1,100,100.0,0.0
-1.0,10,111,37030,1,100,100.0,0.0
-1.0,10,112,60102,1,100,100.0,0.0
-1.0,10,113,28220,1,100,100.0,0.0
-1.0,10,114,31675,1,100,100.0,0.0
-1.0,10,115,25856,1,100,100.0,0.0
-1.0,10,116,31935,1,100,100.0,0.0
-1.0,10,117,41579,1,100,100.0,0.0
-1.0,10,118,38473,1,100,100.0,0.0
-1.0,10,119,38848,1,100,100.0,0.0
-1.0,10,120,21127,1,100,100.0,0.0
-1.0,10,121,65935,1,100,100.0,0.0
-1.0,10,122,35747,1,100,100.0,0.0
-1.0,10,123,43751,1,100,100.0,0.0
-1.0,10,124,52593,1,100,100.0,0.0
-1.0,10,125,24099,1,100,100.0,0.0
-1.0,10,126,25698,1,100,100.0,0.0
-1.0,10,127,43971,1,100,100.0,0.0
-1.0,10,128,85580,1,100,100.0,0.0
-1.0,10,129,33907,1,100,100.0,0.0
-1.0,10,130,56311,1,100,100.0,0.0
-1.0,10,131,43072,1,100,100.0,0.0
-1.0,10,132,28703,1,100,100.0,0.0
-1.0,10,133,43200,1,100,100.0,0.0
-1.0,10,134,22345,1,100,100.0,0.0
-1.0,10,135,33157,1,100,100.0,0.0
-1.0,10,136,51403,2,99,99.0,0.016666666666666666
-1.0,10,137,45619,1,100,100.0,0.0
-1.0,10,138,19097,1,100,100.0,0.0
-1.0,10,139,48656,1,100,100.0,0.0
-1.0,10,140,60570,2,99,99.0,0.011111111111111112
-1.0,10,141,17445,2,99,99.0,0.011111111111111112
-1.0,10,142,44293,1,100,100.0,0.0
-1.0,10,143,47709,1,100,100.0,0.0
-1.0,10,144,27597,1,100,100.0,0.0
-1.0,10,145,25397,1,100,100.0,0.0
-1.0,10,146,37082,1,100,100.0,0.0
-1.0,10,147,30147,1,100,100.0,0.0
-1.0,10,148,31103,1,100,100.0,0.0
-1.0,10,149,24641,1,100,100.0,0.0
-1.0,10,150,50110,1,100,100.0,0.0
-1.0,10,151,20435,1,100,100.0,0.0
-1.0,10,152,33735,1,100,100.0,0.0
-1.0,10,153,18914,1,100,100.0,0.0
-1.0,10,154,36075,1,100,100.0,0.0
-1.0,10,155,18286,1,100,100.0,0.0
-1.0,10,156,29655,1,100,100.0,0.0
-1.0,10,157,34384,1,100,100.0,0.0
-1.0,10,158,68918,2,97,97.0,0.044444444444444446
-1.0,10,159,48547,1,100,100.0,0.0
-1.0,10,160,16856,1,100,100.0,0.0
-1.0,10,161,33640,1,100,100.0,0.0
-1.0,10,162,23504,1,100,100.0,0.0
-1.0,10,163,24952,1,100,100.0,0.0
-1.0,10,164,34889,1,100,100.0,0.0
-1.0,10,165,35908,1,100,100.0,0.0
-1.0,10,166,24646,1,100,100.0,0.0
-1.0,10,167,19874,1,100,100.0,0.0
-1.0,10,168,48851,1,100,100.0,0.0
-1.0,10,169,41849,1,100,100.0,0.0
-1.0,10,170,73042,1,100,100.0,0.0
-1.0,10,171,62856,1,100,100.0,0.0
-1.0,10,172,49830,1,100,100.0,0.0
-1.0,10,173,18845,1,100,100.0,0.0
-1.0,10,174,23289,1,100,100.0,0.0
-1.0,10,175,34350,1,100,100.0,0.0
-1.0,10,176,52817,1,100,100.0,0.0
-1.0,10,177,38416,1,100,100.0,0.0
-1.0,10,178,42558,1,100,100.0,0.0
-1.0,10,179,25229,1,100,100.0,0.0
-1.0,10,180,39379,1,100,100.0,0.0
-1.0,10,181,40090,1,100,100.0,0.0
-1.0,10,182,21103,1,100,100.0,0.0
-1.0,10,183,45323,1,100,100.0,0.0
-1.0,10,184,16372,2,99,99.0,0.011111111111111112
-1.0,10,185,32704,1,100,100.0,0.0
-1.0,10,186,51673,1,100,100.0,0.0
-1.0,10,187,39210,1,100,100.0,0.0
-1.0,10,188,53678,1,100,100.0,0.0
-1.0,10,189,52301,1,100,100.0,0.0
-1.0,10,190,33303,1,100,100.0,0.0
-1.0,10,191,33710,1,100,100.0,0.0
-1.0,10,192,30106,1,100,100.0,0.0
